Probe_name	GB_ACC
200883_at	NM_003366
200884_at	NM_001823
200885_at	NM_005167
200886_s_at	NM_002629
200887_s_at	NM_007315
200888_s_at	NM_000978
200889_s_at	AI016620
200890_s_at	AW006345
200891_s_at	NM_003144
200892_s_at	BC000451
200893_at	NM_004593
200894_s_at	AA894574
200895_s_at	NM_002014
200896_x_at	NM_004494
200897_s_at	NM_016081
200898_s_at	AK002091
200899_s_at	NM_012215
200900_s_at	AI583537
200901_s_at	NM_002355
200902_at	NM_004261
200903_s_at	NM_000687
200904_at	X56841
200905_x_at	NM_005516
200906_s_at	AK025843
200907_s_at	AU157932
200908_s_at	BC005354
200909_s_at	NM_001004
200910_at	NM_005998
200911_s_at	NM_006283
200912_s_at	NM_001967
200913_at	NM_002707
200914_x_at	BF589024
200915_x_at	NM_004986
200916_at	NM_003564
200917_s_at	BG474541
200918_s_at	NM_003139
200919_at	NM_004427
200920_s_at	AL535380
200921_s_at	NM_001731
200922_at	NM_006801
200923_at	NM_005567
200924_s_at	NM_002394
200925_at	NM_004373
200926_at	NM_001025
200927_s_at	AA919115
200928_s_at	AL162081
200929_at	NM_006827
200930_s_at	AA156675
200931_s_at	NM_014000
200932_s_at	NM_006400
200933_x_at	NM_001007
200934_at	NM_003472
200935_at	NM_004343
200936_at	NM_000973
200937_s_at	NM_000969
200938_s_at	AI920976
200939_s_at	NM_012102
200940_s_at	AB036737
200941_at	AK026575
200942_s_at	NM_001537
200943_at	NM_004965
200944_s_at	NM_004965
200945_s_at	NM_014933
200946_x_at	AI339331
200947_s_at	NM_005271
200948_at	NM_005439
200949_x_at	NM_001023
200950_at	NM_006409
200951_s_at	AW026491
200952_s_at	AI635187
200953_s_at	NM_001759
200954_at	NM_001694
200955_at	NM_006839
200956_s_at	BE795648
200957_s_at	NM_003146
200958_s_at	NM_005625
200959_at	NM_004960
200960_x_at	NM_007096
200961_at	NM_012248
200962_at	AI348010
200963_x_at	NM_000993
200964_at	NM_003334
200965_s_at	NM_006720
200966_x_at	NM_000034
200967_at	NM_000942
200968_s_at	NM_000942
200969_at	BG107676
200970_s_at	AL136807
200971_s_at	NM_014445
200972_at	BC000704
200973_s_at	NM_005724
200974_at	NM_001613
200975_at	NM_000310
200976_s_at	NM_006024
200977_s_at	AF090891
200978_at	NM_005917
200979_at	BF739979
200980_s_at	NM_000284
200981_x_at	NM_016592
200982_s_at	NM_001155
200983_x_at	BF983379
200984_s_at	X16447
200985_s_at	NM_000611
200986_at	NM_000062
200987_x_at	AA758755
200988_s_at	NM_005789
200989_at	NM_001530
200990_at	NM_005762
200991_s_at	NM_014748
200992_at	AL137335
200993_at	AA939270
200994_at	BG291787
200995_at	AI741392
200996_at	NM_005721
200997_at	NM_002896
200998_s_at	AW029619
200999_s_at	NM_006825
201000_at	NM_001605
201001_s_at	BG164064
201002_s_at	U39361
201003_x_at	NM_003349
201004_at	NM_006280
201005_at	NM_001769
201006_at	NM_005809
201007_at	NM_000183
201008_s_at	AA812232
201009_s_at	AI439556
201010_s_at	NM_006472
201011_at	NM_002950
201012_at	NM_000700
201013_s_at	AA902652
201014_s_at	NM_006452
201015_s_at	NM_021991
201016_at	BE542684
201017_at	BG149698
201018_at	AL079283
201019_s_at	NM_001412
201020_at	NM_003405
201021_s_at	BF697964
201022_s_at	NM_006870
201023_at	NM_005642
201024_x_at	BG261322
201025_at	AB018284
201026_at	AB018284
201027_s_at	NM_015904
201028_s_at	U82164
201029_s_at	NM_002414
201030_x_at	NM_002300
201031_s_at	NM_005520
201032_at	NM_006698
201033_x_at	NM_001002
201034_at	BE545756
201035_s_at	BC000306
201036_s_at	NM_005327
201037_at	NM_002627
201038_s_at	T67821
201039_s_at	BF572938
201040_at	NM_002070
201041_s_at	NM_004417
201042_at	AL031651
201043_s_at	NM_006305
201044_x_at	AA530892
201045_s_at	BF513857
201046_s_at	NM_005053
201047_x_at	BC003617
201048_x_at	NM_002869
201049_s_at	NM_022551
201050_at	NM_012268
201051_at	BE560202
201052_s_at	BG029917
201053_s_at	NM_006814
201054_at	BE966599
201055_s_at	NM_006805
201056_at	N53479
201057_s_at	NM_004487
201058_s_at	NM_006097
201059_at	NM_005231
201060_x_at	AI537887
201061_s_at	M81635
201062_at	M81635
201063_at	NM_002901
201064_s_at	NM_003819
201065_s_at	NM_001518
201066_at	NM_001916
201067_at	BF215487
201068_s_at	NM_002803
201069_at	NM_004530
201070_x_at	AI739389
201071_x_at	NM_012433
201072_s_at	AW152160
201073_s_at	AL040633
201074_at	AA593983
201075_s_at	NM_003074
201076_at	NM_005008
201077_s_at	AF155235
201078_at	NM_004800
201079_at	NM_004710
201080_at	BF338509
201081_s_at	NM_003559
201082_s_at	NM_004082
201083_s_at	AA740754
201084_s_at	NM_014739
201085_s_at	AA664291
201086_x_at	NM_003103
201087_at	NM_002859
201088_at	NM_002266
201089_at	NM_001693
201090_x_at	NM_006082
201091_s_at	BE748755
201092_at	NM_002893
201093_x_at	NM_004168
201094_at	NM_001032
201095_at	NM_004394
201096_s_at	AL537042
201097_s_at	NM_001660
201098_at	NM_004766
201099_at	AA824386
201100_s_at	NM_004652
201101_s_at	BE963370
201102_s_at	NM_002626
201103_x_at	BE299495
201104_x_at	NM_015383
201105_at	NM_002305
201106_at	NM_002085
201107_s_at	AI812030
201108_s_at	BF055462
201109_s_at	AV726673
201110_s_at	NM_003246
201111_at	AF053641
201112_s_at	NM_001316
201113_at	NM_003321
201114_x_at	NM_002792
201115_at	NM_006230
201116_s_at	AI922855
201117_s_at	NM_001873
201118_at	NM_002631
201119_s_at	NM_004074
201120_s_at	AL547946
201121_s_at	NM_006667
201122_x_at	BC000751
201123_s_at	NM_001970
201124_at	AL048423
201125_s_at	NM_002213
201126_s_at	NM_002406
201127_s_at	AI971281
201128_s_at	NM_001096
201129_at	NM_006276
201130_s_at	L08599
201131_s_at	NM_004360
201132_at	NM_019597
201133_s_at	AA142966
201134_x_at	NM_001867
201135_at	NM_004092
201136_at	NM_002668
201137_s_at	NM_002121
201138_s_at	BG532929
201139_s_at	NM_003142
201140_s_at	NM_004583
201141_at	NM_002510
201142_at	AA577698
201143_s_at	BC002513
201144_s_at	NM_004094
201145_at	NM_006118
201146_at	NM_006164
201147_s_at	BF347089
201148_s_at	AW338933
201149_s_at	U67195
201150_s_at	NM_000362
201151_s_at	BF512200
201152_s_at	N31913
201153_s_at	NM_021038
201154_x_at	NM_000968
201155_s_at	NM_014874
201156_s_at	AF141304
201157_s_at	AF020500
201158_at	AI570834
201159_s_at	NM_021079
201160_s_at	AL556190
201161_s_at	NM_003651
201162_at	NM_001553
201163_s_at	NM_001553
201164_s_at	BG474429
201165_s_at	BE670915
201166_s_at	NM_014676
201167_x_at	D13989
201168_x_at	NM_004309
201169_s_at	BG326045
201170_s_at	NM_003670
201171_at	NM_003945
201172_x_at	NM_003945
201173_x_at	NM_006600
201174_s_at	NM_018975
201175_at	NM_015959
201176_s_at	NM_001655
201177_s_at	NM_005499
201178_at	NM_012179
201179_s_at	J03005
201180_s_at	J03198
201181_at	NM_006496
201182_s_at	AI761771
201183_s_at	AI613273
201184_s_at	NM_001273
201185_at	NM_002775
201186_at	NM_002337
201187_s_at	BF001241
201188_s_at	D26351
201189_s_at	NM_002224
201190_s_at	H15647
201191_at	H15647
201192_s_at	NM_006224
201193_at	NM_005896
201194_at	NM_003009
201195_s_at	AB018009
201196_s_at	M21154
201197_at	NM_001634
201198_s_at	AI860431
201199_s_at	NM_002807
201200_at	NM_003851
201201_at	NM_000100
201202_at	NM_002592
201203_s_at	AI921320
201204_s_at	AA706065
201205_at	AF006751
201206_s_at	NM_004587
201207_at	NM_021137
201208_s_at	BC001643
201209_at	NM_004964
201210_at	NM_001356
201211_s_at	AF061337
201212_at	D55696
201213_at	AI090331
201214_s_at	NM_002712
201215_at	NM_005032
201216_at	NM_006817
201217_x_at	NM_000967
201218_at	N23018
201219_at	AW269836
201220_x_at	NM_001329
201221_s_at	NM_003089
201222_s_at	AL527365
201223_s_at	NM_002874
201224_s_at	AU147713
201225_s_at	NM_005839
201226_at	NM_005004
201227_s_at	NM_005004
201228_s_at	AW074830
201229_s_at	BC000422
201230_s_at	NM_006321
201231_s_at	NM_001428
201232_s_at	NM_002817
201233_at	NM_002817
201234_at	NM_004517
201235_s_at	BG339064
201236_s_at	NM_006763
201237_at	AV685920
201238_s_at	BC005338
201239_s_at	BF530535
201240_s_at	NM_014752
201241_at	NM_004939
201242_s_at	BC000006
201243_s_at	NM_001677
201244_s_at	NM_002880
201245_s_at	AL523776
201246_s_at	NM_017670
201247_at	BE513151
201248_s_at	NM_004599
201249_at	AI091047
201250_s_at	NM_006516
201251_at	NM_002654
201252_at	NM_006503
201253_s_at	NM_006319
201254_x_at	NM_001010
201255_x_at	NM_004639
201256_at	NM_004718
201257_x_at	NM_001006
201258_at	NM_001020
201259_s_at	AI768845
201260_s_at	NM_006754
201261_x_at	BC002416
201262_s_at	NM_001711
201263_at	NM_003191
201264_at	NM_007263
201265_at	AF119897
201266_at	NM_003330
201267_s_at	AL545523
201268_at	NM_002512
201269_s_at	AB028991
201270_x_at	NM_015332
201271_s_at	NM_016732
201272_at	NM_001628
201273_s_at	NM_003133
201274_at	NM_002790
201275_at	NM_002004
201276_at	AF267863
201277_s_at	NM_004499
201278_at	N21202
201279_s_at	BC003064
201280_s_at	NM_001343
201281_at	NM_007002
201282_at	NM_002541
201283_s_at	J03068
201284_s_at	NM_001640
201285_at	NM_013446
201286_at	Z48199
201287_s_at	NM_002997
201288_at	NM_001175
201289_at	NM_001554
201290_at	NM_014300
201291_s_at	AU159942
201292_at	AL561834
201293_x_at	NM_021130
201294_s_at	N24643
201295_s_at	BF111821
201296_s_at	NM_015626
201297_s_at	AK023321
201298_s_at	BC003398
201299_s_at	NM_018221
201300_s_at	NM_000311
201301_s_at	BC000182
201302_at	NM_001153
201303_at	NM_014740
201304_at	NM_005000
201305_x_at	AV712577
201306_s_at	NM_006401
201307_at	AL534972
201308_s_at	NM_018243
201309_x_at	U36189
201310_s_at	NM_004772
201311_s_at	AL515318
201312_s_at	NM_003022
201313_at	NM_001975
201314_at	NM_006374
201315_x_at	NM_006435
201316_at	AL523904
201317_s_at	NM_002787
201318_s_at	NM_006471
201319_at	NM_006471
201320_at	BF663402
201321_s_at	NM_003075
201322_at	NM_001686
201323_at	NM_006824
201324_at	NM_001423
201325_s_at	NM_001423
201326_at	BE737030
201327_s_at	NM_001762
201328_at	AL575509
201329_s_at	NM_005239
201330_at	NM_002887
201331_s_at	BC004973
201332_s_at	NM_003153
201333_s_at	AI807672
201334_s_at	AB002380
201335_s_at	NM_015313
201336_at	BC003570
201337_s_at	NM_004781
201338_x_at	NM_002097
201339_s_at	NM_002979
201340_s_at	AF010314
201341_at	NM_003633
201342_at	NM_003093
201343_at	BE621259
201344_at	BF196642
201345_s_at	NM_003339
201346_at	NM_024551
201347_x_at	NM_012203
201348_at	NM_002084
201349_at	NM_004252
201350_at	NM_004475
201351_s_at	AF070656
201352_at	NM_014263
201353_s_at	AI653126
201354_s_at	AA788652
201355_s_at	NM_013449
201356_at	BF129339
201357_s_at	NM_005877
201358_s_at	NM_016451
201359_at	NM_016451
201360_at	NM_000099
201361_at	NM_024092
201362_at	AF205218
201363_s_at	AB020657
201364_s_at	AF242521
201365_at	NM_002537
201366_at	NM_004034
201367_s_at	AI356398
201368_at	U07802
201369_s_at	NM_006887
201370_s_at	AU145232
201371_s_at	AF062537
201372_s_at	NM_003590
201373_at	NM_000445
201374_x_at	AI379894
201375_s_at	NM_004156
201376_s_at	AI591354
201377_at	NM_014847
201378_s_at	NM_014847
201379_s_at	NM_003288
201380_at	NM_006371
201381_x_at	AF057356
201382_at	NM_014412
201383_s_at	AL044170
201384_s_at	NM_005899
201385_at	NM_001358
201386_s_at	AF279891
201387_s_at	NM_004181
201388_at	NM_002809
201389_at	NM_002205
201390_s_at	NM_001320
201391_at	NM_016292
201392_s_at	BG031974
201393_s_at	NM_000876
201394_s_at	U23946
201395_at	NM_005778
201396_s_at	NM_003021
201397_at	NM_006623
201398_s_at	BC000687
201399_s_at	NM_014294
201400_at	NM_002795
201401_s_at	M80776
201402_at	NM_001619
201403_s_at	NM_004528
201404_x_at	BC000268
201405_s_at	NM_006833
201406_at	NM_021029
201407_s_at	AI186712
201408_at	W67887
201409_s_at	NM_002709
201410_at	AI983043
201411_s_at	NM_017958
201412_at	NM_014045
201413_at	NM_000414
201414_s_at	NM_005969
201415_at	NM_000178
201416_at	BG528420
201417_at	AL136179
201418_s_at	NM_003107
201419_at	NM_004656
201420_s_at	BF975273
201421_s_at	NM_024102
201422_at	NM_006332
201423_s_at	AL037208
201424_s_at	NM_003589
201425_at	NM_000690
201426_s_at	AI922599
201427_s_at	NM_005410
201428_at	NM_001305
201429_s_at	NM_000998
201430_s_at	W72516
201431_s_at	NM_001387
201432_at	NM_001752
201433_s_at	NM_014754
201434_at	NM_003314
201435_s_at	AW268640
201436_at	AI742789
201437_s_at	NM_001968
201438_at	NM_004369
201439_at	NM_004193
201440_at	NM_004818
201441_at	NM_001863
201442_s_at	AF248966
201443_s_at	AF248966
201444_s_at	NM_005765
201445_at	NM_001839
201446_s_at	BF692742
201447_at	H96549
201448_at	AL046419
201449_at	AL567227
201450_s_at	NM_022037
201451_x_at	D78132
201452_at	AW138374
201453_x_at	NM_005614
201454_s_at	AW055008
201455_s_at	AJ132583
201456_s_at	AU160695
201457_x_at	AF081496
201458_s_at	NM_004725
201459_at	NM_006666
201460_at	AI141802
201461_s_at	NM_004759
201462_at	NM_014766
201463_s_at	NM_006755
201464_x_at	BG491844
201465_s_at	BC002646
201466_s_at	NM_002228
201467_s_at	AI039874
201468_s_at	NM_000903
201469_s_at	AI809967
201470_at	NM_004832
201471_s_at	NM_003900
201472_at	NM_003372
201473_at	NM_002229
201474_s_at	NM_002204
201475_x_at	NM_004990
201476_s_at	AI692974
201477_s_at	NM_001033
201478_s_at	U59151
201479_at	NM_001363
201480_s_at	NM_003169
201481_s_at	NM_002862
201482_at	NM_002826
201483_s_at	BC002802
201484_at	NM_003168
201485_s_at	BC004892
201486_at	NM_002902
201487_at	NM_001814
201488_x_at	BC000717
201489_at	BC005020
201490_s_at	NM_005729
201491_at	NM_012111
201492_s_at	NM_021104
201493_s_at	BE778078
201494_at	NM_005040
201495_x_at	AI889739
201496_x_at	S67238
201497_x_at	NM_022844
201498_at	AI160440
201499_s_at	NM_003470
201500_s_at	NM_021959
201501_s_at	NM_002092
201502_s_at	AI078167
201503_at	BG500067
201504_s_at	AI435302
201505_at	NM_002291
201506_at	NM_000358
201507_at	NM_002622
201508_at	NM_001552
201509_at	NM_006899
201510_at	AF017307
201511_at	NM_001087
201512_s_at	BC003633
201513_at	AI659180
201514_s_at	NM_005754
201515_s_at	NM_004622
201516_at	NM_003132
201517_at	BC001255
201518_at	NM_006807
201519_at	NM_014820
201520_s_at	BF034561
201521_s_at	NM_007362
201522_x_at	NM_003097
201523_x_at	BE262760
201524_x_at	NM_003348
201525_at	NM_001647
201526_at	NM_001662
201527_at	NM_004231
201528_at	BG398414
201529_s_at	NM_002945
201530_x_at	NM_001416
201531_at	NM_003407
201532_at	NM_002788
201533_at	NM_001904
201534_s_at	AF044221
201535_at	NM_007106
201536_at	AL048503
201537_s_at	BC002682
201538_s_at	NM_004090
201539_s_at	U29538
201540_at	NM_001449
201541_s_at	NM_006349
201542_at	AY008268
201543_s_at	NM_020150
201544_x_at	BF675004
201545_s_at	NM_004643
201546_at	NM_004238
201547_at	AA729218
201548_s_at	W02593
201549_x_at	NM_006618
201550_x_at	NM_001614
201551_s_at	J03263
201552_at	NM_005561
201553_s_at	NM_005561
201554_x_at	NM_004130
201555_at	NM_002388
201556_s_at	BC002737
201557_at	NM_014232
201558_at	NM_003610
201559_s_at	AF109196
201560_at	NM_013943
201561_s_at	NM_014944
201562_s_at	NM_003104
201563_at	L29008
201564_s_at	NM_003088
201565_s_at	NM_002166
201566_x_at	D13891
201567_s_at	NM_002078
201568_at	NM_014402
201569_s_at	NM_015380
201570_at	NM_015380
201571_s_at	AI656493
201572_x_at	NM_001921
201573_s_at	M75715
201574_at	NM_004730
201575_at	NM_012245
201576_s_at	NM_000404
201577_at	NM_000269
201578_at	NM_005397
201579_at	NM_005245
201580_s_at	AL544094
201581_at	BF572868
201582_at	AL121900
201583_s_at	NM_006363
201584_s_at	NM_005804
201585_s_at	BG035151
201586_s_at	NM_005066
201587_s_at	NM_001569
201588_at	NM_004786
201589_at	D80000
201590_x_at	NM_004039
201591_s_at	NM_007184
201592_at	NM_003756
201593_s_at	AV716798
201594_s_at	NM_005134
201595_s_at	NM_018471
201596_x_at	NM_000224
201597_at	NM_001865
201598_s_at	NM_001567
201599_at	NM_000274
201600_at	NM_007273
201601_x_at	NM_003641
201602_s_at	BE737620
201603_at	AI817061
201604_s_at	NM_002480
201605_x_at	NM_004368
201606_s_at	BE796924
201607_at	AI694451
201608_s_at	NM_007062
201609_x_at	AL578502
201610_at	AF064084
201611_s_at	NM_012405
201612_at	NM_000696
201613_s_at	BC000519
201614_s_at	NM_003707
201615_x_at	AI685060
201616_s_at	AL577531
201617_x_at	NM_004342
201618_x_at	NM_003801
201619_at	NM_006793
201620_at	NM_003791
201621_at	NM_005380
201622_at	NM_014390
201623_s_at	BC000629
201624_at	NM_001349
201625_s_at	BE300521
201626_at	BG292233
201627_s_at	NM_005542
201628_s_at	NM_006570
201629_s_at	BE872974
201630_s_at	NM_004300
201631_s_at	NM_003897
201632_at	NM_001414
201633_s_at	AW235051
201634_s_at	NM_030579
201635_s_at	AI990766
201636_at	BG025078
201637_s_at	NM_005087
201638_s_at	BE676642
201639_s_at	NM_013291
201640_x_at	NM_001294
201641_at	NM_004335
201642_at	NM_005534
201643_x_at	NM_016604
201644_at	NM_003313
201645_at	NM_002160
201646_at	AA885297
201647_s_at	NM_005506
201648_at	AL039831
201649_at	NM_004223
201650_at	NM_002276
201651_s_at	NM_007229
201652_at	NM_006837
201653_at	NM_005776
201654_s_at	AI991033
201655_s_at	M85289
201656_at	NM_000210
201657_at	BE890745
201658_at	AU151560
201659_s_at	NM_001177
